0,0,0,0.5,0,0,0.74,0,0
0,0,0,0.1,0,0,0.06,0,0
0,0,0,0,0,0,0.115,0,0
0,0,0.003,0.001,1,0,0,0.3,0.6
0.0006,0.307,0.001,0.001,0,0.01,0,0,0
0,0,0,0.03,0,0,0,0,0
0,0,0,0,0,0,0.01,0,0
0.029,0,0.219,0,0,0.252,0,0.5,0
0,0,0,0,0,0,0.05,0,0
0.1,0.5,0.036,0.007,0,0.1,0,0.2,0
0.02,0.001,0,0,0,0.004,0,0,0.4
0.85,0.192,0.742,0.361,0,0.634,0.025,0,0
